t: 0	x_0: 1000	x_1: 0	
t: 0.8300000000000005	x_0: -856.2446225671168	x_1: -1617.1820346660156	
t: 0.8400000000000005	x_0: -871.9968830487192	x_1: -1532.4776424574518	
t: 0.8500000000000005	x_0: -886.8943810005998	x_1: -1446.2710338738732	
t: 0.8600000000000005	x_0: -900.9225130926482	x_1: -1358.6467117292161	
t: 0.8700000000000006	x_0: -914.067528178525	x_1: -1269.6905685573893	
t: 0.8800000000000006	x_0: -926.3165407752914	x_1: -1179.4898024173008	
t: 0.8900000000000006	x_0: -937.6575436944845	x_1: -1088.1328314181378	
t: 0.9000000000000006	x_0: -948.0794198122555	x_1: -995.7092070486834	
t: 0.9100000000000006	x_0: -957.5719529670343	x_1: -902.3095263956285	
t: 0.9200000000000006	x_0: -966.1258379740368	x_1: -808.0253433369253	
t: 0.9300000000000006	x_0: -973.7326897467988	x_1: -712.9490787972346	
t: 0.9400000000000006	x_0: -980.3850515167952	x_1: -617.1739301534377	
t: 0.9500000000000006	x_0: -986.0764021430864	x_1: -520.7937798790166	
t: 0.9600000000000006	x_0: -990.8011625048265	x_1: -423.90310351685343	
t: 0.9700000000000006	x_0: -994.5547009703677	x_1: -326.5968770706572	
t: 0.9800000000000006	x_0: -997.3333379375988	x_1: -228.97048390579653	
t: 0.9900000000000007	x_0: -999.1343494410673	x_1: -131.119621250798	
t: 1.0000000000000007	x_0: -999.9559698223492	x_1: -33.140206391160476	
t: 1.0100000000000007	x_0: -999.7973934610478	x_1: 64.87171735256142	
t: 1.0200000000000007	x_0: -998.6587755647263	x_1: 162.82007477024135	
t: 1.0300000000000007	x_0: -996.5412320169971	x_1: 260.6088529389471	
t: 1.0400000000000007	x_0: -993.4468382839193	x_1: 358.14219533867276	
t: 1.0500000000000007	x_0: -989.3786273797734	x_1: 455.3244958147809	
t: 1.0600000000000007	x_0: -984.3405868942095	x_1: 552.0604922950495	
t: 1.0700000000000007	x_0: -978.3376550836808	x_1: 648.2553601694574	
t: 1.0800000000000007	x_0: -971.3757160309952	x_1: 743.8148052411751	
t: 1.0900000000000007	x_0: -963.4615938777283	x_1: 838.6451561576445	
t: 1.1000000000000008	x_0: -954.6030461351518	x_1: 932.6534562311446	
