t: 0	x_0: 1000	x_1: 0	
t: 0.01	x_0: 1000	x_1: -98	
t: 0.02	x_0: 999.02	x_1: -196	
t: 0.03	x_0: 997.06	x_1: -293.90396	
t: 0.04	x_0: 994.1209604	x_1: -391.61584	
t: 0.05	x_0: 990.204802	x_1: -489.0396941192	
t: 0.060000000000000005	x_0: 985.314405058808	x_1: -586.0797647152	
t: 0.07	x_0: 979.453607411656	x_1: -682.6405764109631	
t: 0.08	x_0: 972.6272016475464	x_1: -778.6270299373055	
t: 0.09	x_0: 964.8409313481733	x_1: -873.944495698765	
t: 0.09999999999999999	x_0: 956.1014863911856	x_1: -968.498906970886	
t: 0.10999999999999999	x_0: 946.4164973214768	x_1: -1062.1968526372223	
t: 0.11999999999999998	x_0: 935.7945287951045	x_1: -1154.945669374727	
t: 0.12999999999999998	x_0: 924.2450721013572	x_1: -1246.6535331966472	
t: 0.13999999999999999	x_0: 911.7785367693907	x_1: -1337.2295502625802	
t: 0.15	x_0: 898.4062412667649	x_1: -1426.5838468659806	
t: 0.16	x_0: 884.1404027981051	x_1: -1514.6276585101236	
t: 0.17	x_0: 868.9941262130039	x_1: -1601.273417984338	
t: 0.18000000000000002	x_0: 852.9813920331605	x_1: -1686.4348423532124	
t: 0.19000000000000003	x_0: 836.1170436096285	x_1: -1770.027018772462	
t: 0.20000000000000004	x_0: 818.4167734219038	x_1: -1851.9664890462057	
t: 0.21000000000000005	x_0: 799.8971085314417	x_1: -1932.1713328415522	
t: 0.22000000000000006	x_0: 780.5753952030262	x_1: -2010.5612494776335	
t: 0.23000000000000007	x_0: 760.4697827082499	x_1: -2087.05763820753	
t: 0.24000000000000007	x_0: 739.5992063261746	x_1: -2161.5836769129387	
t: 0.25000000000000006	x_0: 717.9833695570452	x_1: -2234.064399132904	
t: 0.26000000000000006	x_0: 695.6427255657162	x_1: -2304.4267693494944	
t: 0.2700000000000001	x_0: 672.5984578722213	x_1: -2372.599756454935	
t: 0.2800000000000001	x_0: 648.8724603076719	x_1: -2438.5144053264125	
t: 0.2900000000000001	x_0: 624.4873162544077	x_1: -2502.1039064365646	
t: 0.3000000000000001	x_0: 599.4662771900421	x_1: -2563.3036634294967	
t: 0.3100000000000001	x_0: 573.8332405557471	x_1: -2622.0513585941208	
t: 0.3200000000000001	x_0: 547.6127269698059	x_1: -2678.287016168584	
t: 0.3300000000000001	x_0: 520.82985680812	x_1: -2731.953063411625	
t: 0.34000000000000014	x_0: 493.51032617400375	x_1: -2782.994389378821	
t: 0.35000000000000014	x_0: 465.68038228021555	x_1: -2831.358401343873	
t: 0.36000000000000015	x_0: 437.3667982667768	x_1: -2876.9950788073343	
t: 0.37000000000000016	x_0: 408.59684747870347	x_1: -2919.8570250374783	
t: 0.38000000000000017	x_0: 379.3982772283287	x_1: -2959.899516090391	
t: 0.3900000000000002	x_0: 349.79928206742477	x_1: -2997.080547258767	
t: 0.4000000000000002	x_0: 319.82847659483707	x_1: -3031.360876901375	
t: 0.4100000000000002	x_0: 289.51486782582333	x_1: -3062.704067607669	
t: 0.4200000000000002	x_0: 258.8878271497466	x_1: -3091.0765246546	
t: 0.4300000000000002	x_0: 227.97706190320062	x_1: -3116.447531715275	
t: 0.4400000000000002	x_0: 196.81258658604787	x_1: -3138.789283781789	
t: 0.45000000000000023	x_0: 165.42469374822997	x_1: -3158.0769172672217	
t: 0.46000000000000024	x_0: 133.84392457555776	x_1: -3174.2885372545484	
t: 0.47000000000000025	x_0: 102.10103920301228	x_1: -3187.405241862953	
t: 0.48000000000000026	x_0: 70.22698678438275	x_1: -3197.411143704848	
t: 0.49000000000000027	x_0: 38.25287534733427	x_1: -3204.293388409718	
t: 0.5000000000000002	x_0: 6.209941463237087	x_1: -3208.0421701937566	
t: 0.5100000000000002	x_0: -25.87048023870048	x_1: -3208.650744457154	
t: 0.5200000000000002	x_0: -57.95698768327202	x_1: -3206.115437393761	
t: 0.5300000000000002	x_0: -90.01814205720963	x_1: -3200.4356526008005	
t: 0.5400000000000003	x_0: -122.02249858321764	x_1: -3191.613874679194	
t: 0.5500000000000003	x_0: -153.93863733000958	x_1: -3179.6556698180384	
t: 0.5600000000000003	x_0: -185.73519402818997	x_1: -3164.5696833596976	
t: 0.5700000000000003	x_0: -217.38089086178695	x_1: -3146.367634344935	
t: 0.5800000000000003	x_0: -248.8445672052363	x_1: -3125.06430704048	
t: 0.5900000000000003	x_0: -280.0952102756411	x_1: -3100.6775394543665	
t: 0.6000000000000003	x_0: -311.1019856701847	x_1: -3073.228208847354	
t: 0.6100000000000003	x_0: -341.83426775865826	x_1: -3042.7402142516758	
t: 0.6200000000000003	x_0: -372.261669901175	x_1: -3009.2404560113273	
t: 0.6300000000000003	x_0: -402.3540744612883	x_1: -2972.758812361012	
t: 0.6400000000000003	x_0: -432.0816625848984	x_1: -2933.328113063806	
t: 0.6500000000000004	x_0: -461.4149437155365	x_1: -2890.984110130486	
t: 0.6600000000000004	x_0: -490.3247848168413	x_1: -2845.7654456463633	
t: 0.6700000000000004	x_0: -518.7824392733049	x_1: -2797.713616734313	
t: 0.6800000000000004	x_0: -546.7595754406481	x_1: -2746.872937685529	
t: 0.6900000000000004	x_0: -574.2283048175034	x_1: -2693.2904992923454	
t: 0.7000000000000004	x_0: -601.1612098104268	x_1: -2637.0161254202303	
t: 0.7100000000000004	x_0: -627.5313710646292	x_1: -2578.1023268588083	
t: 0.7200000000000004	x_0: -653.3123943332173	x_1: -2516.6042524944746	
t: 0.7300000000000004	x_0: -678.478436858162	x_1: -2452.5796378498194	
t: 0.7400000000000004	x_0: -703.0042332366602	x_1: -2386.0887510377197	
t: 0.7500000000000004	x_0: -726.8651207470374	x_1: -2317.194336180527	
t: 0.7600000000000005	x_0: -750.0370641088426	x_1: -2245.9615543473174	
t: 0.7700000000000005	x_0: -772.4966796523158	x_1: -2172.4579220646506	
t: 0.7800000000000005	x_0: -794.2212588729624	x_1: -2096.7532474587238	
t: 0.7900000000000005	x_0: -815.1887913475496	x_1: -2018.9195640891735	
t: 0.8000000000000005	x_0: -835.3779869884413	x_1: -1939.0310625371137	
t: 0.8100000000000005	x_0: -854.7682976138125	x_1: -1857.1640198122464	
t: 0.8200000000000005	x_0: -873.339937811935	x_1: -1773.3967266460927	
t: 0.8300000000000005	x_0: -891.0739050783959	x_1: -1687.8094127405232	
t: 0.8400000000000005	x_0: -907.9519992058011	x_1: -1600.4841700428403	
t: 0.8500000000000005	x_0: -923.9568409062296	x_1: -1511.5048741206717	
t: 0.8600000000000005	x_0: -939.0718896474363	x_1: -1420.9571037118612	
t: 0.8700000000000006	x_0: -953.2814606845549	x_1: -1328.9280585264125	
t: 0.8800000000000006	x_0: -966.570741269819	x_1: -1235.5064753793263	
t: 0.8900000000000006	x_0: -978.9258060236123	x_1: -1140.782542734884	
t: 0.9000000000000006	x_0: -990.3336314509611	x_1: -1044.84781374457	
t: 0.9100000000000006	x_0: -1000.7821095884068	x_1: -947.7951178623757	
t: 0.9200000000000006	x_0: -1010.2600607670306	x_1: -849.7184711227119	
t: 0.9300000000000006	x_0: -1018.7572454782577	x_1: -750.7129851675429	
t: 0.9400000000000006	x_0: -1026.264375329933	x_1: -650.8747751106737	
t: 0.9500000000000006	x_0: -1032.7731230810398	x_1: -550.3008663283402	
t: 0.9600000000000006	x_0: -1038.2761317443233	x_1: -449.0891002663983	
t: 0.9700000000000006	x_0: -1042.7670227469873	x_1: -347.3380393554546	
t: 0.9800000000000006	x_0: -1046.240403140542	x_1: -245.14687112624983	
t: 0.9900000000000007	x_0: -1048.6918718518045	x_1: -142.6153116184767	
t: 1.0000000000000007	x_0: -1050.1180249679894	x_1: -39.84350817699985	
t: 1.0100000000000007	x_0: -1050.5164600497594	x_1: 63.068058269863116	
t: 1.0200000000000007	x_0: -1049.8857794670607	x_1: 166.01867135473952	
t: 1.0300000000000007	x_0: -1048.2255927535134	x_1: 268.9074777425115	
t: 1.0400000000000007	x_0: -1045.5365179760884	x_1: 371.63358583235583	
t: 1.0500000000000007	x_0: -1041.8201821177647	x_1: 474.0961645940125	
t: 1.0600000000000007	x_0: -1037.0792204718246	x_1: 576.1945424415535	
t: 1.0700000000000007	x_0: -1031.317275047409	x_1: 677.8283060477924	
t: 1.0800000000000007	x_0: -1024.5389919869313	x_1: 778.8973990024384	
t: 1.0900000000000007	x_0: -1016.7500179969069	x_1: 879.3022202171577	
t: 1.1000000000000008	x_0: -1007.9569957947353	x_1: 978.9437219808545	
t: 1.1100000000000008	x_0: -998.1675585749268	x_1: 1077.7235075687386	
t: 1.1200000000000008	x_0: -987.3903234992395	x_1: 1175.5439283090814	
t: 1.1300000000000008	x_0: -975.6348842161486	x_1: 1272.308180012007	
t: 1.1400000000000008	x_0: -962.9118024160285	x_1: 1367.9203986651894	
t: 1.1500000000000008	x_0: -949.2325984293766	x_1: 1462.2857553019603	
t: 1.1600000000000008	x_0: -934.609740876357	x_1: 1555.3105499480391	
t: 1.1700000000000008	x_0: -919.0566353768767	x_1: 1646.902304553922	
t: 1.1800000000000008	x_0: -902.5876123313375	x_1: 1736.969854820856	
t: 1.1900000000000008	x_0: -885.2179137831289	x_1: 1825.423440829327	
t: 1.2000000000000008	x_0: -866.9636793748356	x_1: 1912.1747963800738	
t: 1.2100000000000009	x_0: -847.8419314110348	x_1: 1997.1372369588075	
t: 1.2200000000000009	x_0: -827.8705590414468	x_1: 2080.225746237089	
t: 1.2300000000000009	x_0: -807.0683015790759	x_1: 2161.357061023151	
t: 1.2400000000000009	x_0: -785.4547309688444	x_1: 2240.4497545779004	
t: 1.2500000000000009	x_0: -763.0502334230654	x_1: 2317.424318212847	
t: 1.260000000000001	x_0: -739.8759902409369	x_1: 2392.2032410883075	
t: 1.270000000000001	x_0: -715.9539578300538	x_1: 2464.7110881319195	
t: 1.280000000000001	x_0: -691.3068469487346	x_1: 2534.874575999265	
t: 1.290000000000001	x_0: -665.9581011887419	x_1: 2602.6226470002407	
t: 1.300000000000001	x_0: -639.9318747187396	x_1: 2667.8865409167374	
t: 1.310000000000001	x_0: -613.2530093095721	x_1: 2730.599864639174	
t: 1.320000000000001	x_0: -585.9470106631804	x_1: 2790.6986595515123	
t: 1.330000000000001	x_0: -558.0400240676653	x_1: 2848.121466596504	
t: 1.340000000000001	x_0: -529.5588094017003	x_1: 2902.809388955135	
t: 1.350000000000001	x_0: -500.5307155121489	x_1: 2954.7061522765016	
t: 1.360000000000001	x_0: -470.98365398938387	x_1: 3003.758162396692	
t: 1.370000000000001	x_0: -440.94607236541697	x_1: 3049.9145604876517	
t: 1.380000000000001	x_0: -410.44692676054046	x_1: 3093.1272755794625	
t: 1.390000000000001	x_0: -379.51565400474584	x_1: 3133.3510744019954	
t: 1.400000000000001	x_0: -348.18214326072587	x_1: 3170.5436084944604	
t: 1.410000000000001	x_0: -316.47670717578126	x_1: 3204.6654585340116	
t: 1.420000000000001	x_0: -284.43005259044116	x_1: 3235.680175837238	
t: 1.430000000000001	x_0: -252.07325083206877	x_1: 3263.554320991101	
t: 1.440000000000001	x_0: -219.43770762215775	x_1: 3288.257499572644	
t: 1.450000000000001	x_0: -186.55513262643132	x_1: 3309.7623949196154	
