t: 0	x_0: 1000	x_1: 0	
t: 1.8000000000000014	x_0: 797.115057078807	x_1: 1890.27889941418	
t: 1.8100000000000014	x_0: 815.6242041373321	x_1: 1811.248221957418	
t: 1.8200000000000014	x_0: 833.334104763345	x_1: 1730.4426662280775	
t: 1.8300000000000014	x_0: 850.2274046718566	x_1: 1647.9414152026022	
t: 1.8400000000000014	x_0: 866.2875497812151	x_1: 1563.8253135030907	
t: 1.8500000000000014	x_0: 881.4988024347813	x_1: 1478.1767881760381	
t: 1.8600000000000014	x_0: 895.8462568225717	x_1: 1391.0797679204288	
t: 1.8700000000000014	x_0: 909.3158535877598	x_1: 1302.6196008443287	
t: 1.8800000000000014	x_0: 921.8943936037198	x_1: 1212.882970830572	
t: 1.8900000000000015	x_0: 933.5695509081146	x_1: 1121.9578125934943	
t: 1.9000000000000015	x_0: 944.3298847813522	x_1: 1029.9332255099516	
t: 1.9100000000000015	x_0: 954.1648509575748	x_1: 936.8993863090628	
t: 1.9200000000000015	x_0: 963.0648119571954	x_1: 842.9474607062339	
t: 1.9300000000000015	x_0: 971.0210465308564	x_1: 748.1695140680536	
t: 1.9400000000000015	x_0: 978.025758205556	x_1: 652.6584211956044	
t: 1.9500000000000015	x_0: 984.0720829245674	x_1: 556.5077753145915	
t: 1.9600000000000015	x_0: 989.1540957736652	x_1: 459.8117963614732	
t: 1.9700000000000015	x_0: 993.2668167870664	x_1: 362.6652386554653	
t: 1.9800000000000015	x_0: 996.4062158273994	x_1: 265.163298046893	
t: 1.9900000000000015	x_0: 998.5692165349147	x_1: 167.4015186328775	
t: 2.0000000000000013	x_0: 999.7536993420724	x_1: 69.47569913176919	
t: 2.010000000000001	x_0: 999.9585035505478	x_1: -28.518200991928452	
t: 2.020000000000001	x_0: 999.1834284686231	x_1: -126.4841555601526	
t: 2.0300000000000007	x_0: 997.4292336078496	x_1: -224.32616577924912	
t: 2.0400000000000005	x_0: 994.6976379387866	x_1: -321.948354311106	
t: 2.0500000000000003	x_0: 990.991318206548	x_1: -419.25505922527003	
t: 2.06	x_0: 986.3139063078067	x_1: -516.1509277399812	
t: 2.07	x_0: 980.6699857318263	x_1: -612.5410096602664	
t: 2.0799999999999996	x_0: 974.0650870690081	x_1: -708.3308504215296	
t: 2.0899999999999994	x_0: 966.5056825913559	x_1: -803.426583647465	
t: 2.099999999999999	x_0: 957.9991799101672	x_1: -897.7350231315918	
t: 2.109999999999999	x_0: 948.5539147171669	x_1: -991.1637541522771	
t: 2.1199999999999988	x_0: 938.1791426161969	x_1: -1083.6212240317661	
t: 2.1299999999999986	x_0: 926.8850300534652	x_1: -1175.0168318504777	
t: 2.1399999999999983	x_0: 914.6826443552422	x_1: -1265.2610172286531	
t: 2.149999999999998	x_0: 901.5839428827669	x_1: -1354.2653480883591	
t: 2.159999999999998	x_0: 887.6017613149901	x_1: -1441.9426073098464	
t: 2.1699999999999977	x_0: 872.7498010706364	x_1: -1528.2068781973442	
t: 2.1799999999999975	x_0: 857.0426158819106	x_1: -1612.9736286705458	
t: 2.1899999999999973	x_0: 840.4955975330051	x_1: -1696.159794099281	
t: 2.199999999999997	x_0: 823.1249607773836	x_1: -1777.6838587002035	
t: 2.209999999999997	x_0: 804.9477274486204	x_1: -1857.4659354157343	
t: 2.2199999999999966	x_0: 785.981709780366	x_1: -1935.4278441969832	
t: 2.2299999999999964	x_0: 766.2454929517841	x_1: -2011.4931886139389	
t: 2.239999999999996	x_0: 745.7584168755635	x_1: -2085.5874307178547	
t: 2.249999999999996	x_0: 724.5405572463521	x_1: -2157.6379640824725	
t: 2.259999999999996	x_0: 702.6127058681826	x_1: -2227.5741849525075	
t: 2.2699999999999956	x_0: 679.9963502801693	x_1: -2295.3275614296776	
t: 2.2799999999999954	x_0: 656.7136527004395	x_1: -2360.8317006284783	
t: 2.289999999999995	x_0: 632.7874283089338	x_1: -2424.0224137358946	
t: 2.299999999999995	x_0: 608.2411228903562	x_1: -2484.8377789113006	
t: 2.3099999999999947	x_0: 583.0987898591815	x_1: -2543.218201964907	
t: 2.3199999999999945	x_0: 557.3850666892345	x_1: -2599.1064747552964	
t: 2.3299999999999943	x_0: 531.1251507709383	x_1: -2652.4478312488213	
t: 2.339999999999994	x_0: 504.3447747198881	x_1: -2703.190001185935	
t: 2.349999999999994	x_0: 477.07018116094804	x_1: -2751.2832613018622	
t: 2.3599999999999937	x_0: 449.32809701257906	x_1: -2796.680484051416	
t: 2.3699999999999934	x_0: 421.1457072965987	x_1: -2839.3371837902214	
t: 2.3799999999999932	x_0: 392.5506284990354	x_1: -2879.211560367086	
t: 2.389999999999993	x_0: 363.57088150818294	x_1: -2916.2645400848005	
t: 2.399999999999993	x_0: 334.23486415637285	x_1: -2950.459813989237	
t: 2.4099999999999926	x_0: 304.5713233923719	x_1: -2981.7638734492148	
t: 2.4199999999999924	x_0: 274.6093271116732	x_1: -3010.146042992278	
t: 2.429999999999992	x_0: 244.37823567228585	x_1: -3035.5785103642042	
t: 2.439999999999992	x_0: 213.9076731239337	x_1: -3058.0363537827843	
t: 2.4499999999999917	x_0: 183.22749817885838	x_1: -3077.4975663591767	
t: 2.4599999999999915	x_0: 152.36777495267108	x_1: -3093.9430776628956	
t: 2.4699999999999913	x_0: 121.35874350392596	x_1: -3107.356772409307	
t: 2.479999999999991	x_0: 90.2307902012833	x_1: -3117.725506251317	
t: 2.489999999999991	x_0: 59.0144179473005	x_1: -3125.03911865978	
t: 2.4999999999999907	x_0: 27.740216288029295	x_1: -3129.2904428800043	
t: 2.5099999999999905	x_0: -3.5611685622908595	x_1: -3130.475312954597	
t: 2.5199999999999902	x_0: -34.85906375206958	x_1: -3128.59256780577	
t: 2.52999999999999	x_0: -66.12279984930488	x_1: -3123.644052373102	
t: 2.53999999999999	x_0: -97.32174089517157	x_1: -3115.6346158056467	
t: 2.5499999999999896	x_0: -128.4253144248086	x_1: -3104.572106710153	
t: 2.5599999999999894	x_0: -159.40304142588735	x_1: -3090.4673654600606	
t: 2.569999999999989	x_0: -190.22456620560405	x_1: -3073.3342135728003	
t: 2.579999999999989	x_0: -220.85968613682886	x_1: -3053.189440165814	
t: 2.5899999999999888	x_0: -251.2783812542628	x_1: -3030.052785504564	
t: 2.5999999999999885	x_0: -281.45084367160075	x_1: -3003.9469216586504	
t: 2.6099999999999883	x_0: -311.34750679087404	x_1: -2974.897430285001	
t: 2.619999999999988	x_0: -340.9390742753498	x_1: -2942.932777559893	
t: 2.629999999999988	x_0: -370.19654875759574	x_1: -2908.08428628438	
t: 2.6399999999999877	x_0: -399.09126025457925	x_1: -2870.3861051904532	
t: 2.6499999999999875	x_0: -427.5948942619558	x_1: -2829.875175478018	
t: 2.6599999999999873	x_0: -455.6795195000167	x_1: -2786.5911946154743	
t: 2.669999999999987	x_0: -483.3176152841073	x_1: -2740.5765774393776	
t: 2.679999999999987	x_0: -510.4820984926953	x_1: -2691.876414591291	
t: 2.6899999999999866	x_0: -537.1463501066615	x_1: -2640.5384283325684	
t: 2.6999999999999864	x_0: -563.2842412938085	x_1: -2586.612925780356	
t: 2.709999999999986	x_0: -588.8701590130237	x_1: -2530.1527496106464	
t: 2.719999999999986	x_0: -613.8790311130102	x_1: -2471.2132262766854	
t: 2.7299999999999858	x_0: -638.286350900988	x_1: -2409.8521117934756	
t: 2.7399999999999856	x_0: -662.0682011572909	x_1: -2346.1295351415056	
t: 2.7499999999999853	x_0: -685.2012775723273	x_1: -2280.107939345162	
t: 2.759999999999985	x_0: -707.6629115829387	x_1: -2211.852020283564	
t: 2.769999999999985	x_0: -729.4310925857765	x_1: -2141.42866329378	
t: 2.7799999999999847	x_0: -750.4844895059314	x_1: -2068.9068776285526	
t: 2.7899999999999845	x_0: -770.8024716996798	x_1: -1994.3577288327522	
t: 2.7999999999999843	x_0: -790.3651291708629	x_1: -1917.8542691048342	
t: 2.809999999999984	x_0: -809.1532920810893	x_1: -1839.471465711531	
t: 2.819999999999984	x_0: -827.1485495346417	x_1: -1759.2861275259306	
t: 2.8299999999999836	x_0: -844.3332676196818	x_1: -1677.3768297609308	
t: 2.8399999999999834	x_0: -860.6906066880717	x_1: -1593.823836971819	
t: 2.849999999999983	x_0: -876.2045378568815	x_1: -1508.7090244034334	
t: 2.859999999999983	x_0: -890.8598587154111	x_1: -1422.115797758977	
t: 2.869999999999983	x_0: -904.642208222336	x_1: -1334.1290114691037	
t: 2.8799999999999826	x_0: -917.5380807783783	x_1: -1244.8348855413706	
t: 2.8899999999999824	x_0: -929.5348394607131	x_1: -1154.32092107153	
t: 2.899999999999982	x_0: -940.6207284061408	x_1: -1062.6758144994608	
t: 2.909999999999982	x_0: -950.7848843308922	x_1: -969.9893706937575	
t: 2.9199999999999817	x_0: -960.0173471757772	x_1: -876.3524149501466	
t: 2.9299999999999815	x_0: -968.3090698662456	x_1: -781.8567039899677	
t: 2.9399999999999813	x_0: -975.6519271777956	x_1: -686.5948360459314	
t: 2.949999999999981	x_0: -982.0387236980436	x_1: -590.6601601232626	
t: 2.959999999999981	x_0: -987.4632008776522	x_1: -494.14668452514866	
t: 2.9699999999999807	x_0: -991.920043163208	x_1: -397.1489847321266	
t: 2.9799999999999804	x_0: -995.404883206038	x_1: -299.76211072568293	
t: 2.9899999999999802	x_0: -997.9143061418617	x_1: -202.08149384687994	
t: 2.99999999999998	x_0: -999.4458529370852	x_1: -104.20285328128061	
t: 3.00999999999998	x_0: -999.9980227984566	x_1: -6.2221022618086295	
t: 3.0199999999999796	x_0: -999.570274643724	x_1: 91.76474591854235	
t: 3.0299999999999794	x_0: -998.163027631852	x_1: 189.66167199205034	
t: 3.039999999999979	x_0: -995.7776607522799	x_1: 287.37274480746134	
t: 3.049999999999979	x_0: -992.4165114736226	x_1: 384.8022153348387	
t: 3.0599999999999787	x_0: -988.0828734531378	x_1: 481.854610491948	
t: 3.0699999999999785	x_0: -982.7809933092065	x_1: 578.4348267002354	
t: 3.0799999999999783	x_0: -976.5160664599856	x_1: 674.4482230787219	
t: 3.089999999999978	x_0: -969.2942320323153	x_1: 769.8007141844912	
t: 3.099999999999978	x_0: -961.1225668458653	x_1: 864.3988622088922	
t: 3.1099999999999777	x_0: -952.0090784784182	x_1: 958.1499685391125	
t: 3.1199999999999775	x_0: -941.9626974190846	x_1: 1050.9621645953985	
t: 3.1299999999999772	x_0: -930.9932683171381	x_1: 1142.7445018549097	
t: 3.139999999999977	x_0: -919.1115403350473	x_1: 1233.4070409739913	
t: 3.149999999999977	x_0: -906.3291566151569	x_1: 1322.8609399215316	
t: 3.1599999999999766	x_0: -892.6586428703404	x_1: 1411.0185410370404	
t: 3.1699999999999764	x_0: -878.1133951098038	x_1: 1497.7934569281408	
t: 3.179999999999976	x_0: -862.7076665120693	x_1: 1583.1006551232972	
t: 3.189999999999976	x_0: -846.4565534580006	x_1: 1666.8565413968322	
t: 3.1999999999999758	x_0: -829.3759807375585	x_1: 1748.9790416845753	
t: 3.2099999999999755	x_0: -811.4826859447816	x_1: 1829.3876825098769	
t: 3.2199999999999753	x_0: -792.7942030762835	x_1: 1908.003669841173	
t: 3.229999999999975	x_0: -773.3288453493398	x_1: 1984.7499663038295	
t: 3.239999999999975	x_0: -753.1056872564012	x_1: 2059.5513666706024	
t: 3.2499999999999747	x_0: -732.1445458736177	x_1: 2132.334571556741	
t: 3.2599999999999745	x_0: -710.4659614416901	x_1: 2203.028259247517	
t: 3.2699999999999743	x_0: -688.0911772380781	x_1: 2271.563155587796	
t: 3.279999999999974	x_0: -665.0421187602896	x_1: 2337.8721018651645	
t: 3.289999999999974	x_0: -641.3413722406472	x_1: 2401.890120620093	
t: 3.2999999999999736	x_0: -617.0121625135893	x_1: 2463.554479318644	
t: 3.3099999999999734	x_0: -592.0783302571907	x_1: 2522.8047518253334	
t: 3.319999999999973	x_0: -566.5643086312072	x_1: 2579.5828776159074	
t: 3.329999999999973	x_0: -540.495099334534	x_1: 2633.8332186720086	
t: 3.3399999999999728	x_0: -513.8962481055427	x_1: 2685.5026140019795	
t: 3.3499999999999726	x_0: -486.7938196893022	x_1: 2734.54043173438	
t: 3.3599999999999723	x_0: -459.2143722962152	x_1: 2780.8986187331675	
t: 3.369999999999972	x_0: -431.1849315770974	x_1: 2824.5317476859245	
t: 3.379999999999972	x_0: -402.73296414020365	x_1: 2865.397061618988	
t: 3.3899999999999717	x_0: -373.8863506361498	x_1: 2903.454515795861	
t: 3.3999999999999715	x_0: -344.6733584371074	x_1: 2938.6668169578493	
t: 3.4099999999999713	x_0: -315.12261393704136	x_1: 2970.9994598684693	
t: 3.419999999999971	x_0: -285.26307450013525	x_1: 3000.4207611258184	
t: 3.429999999999971	x_0: -255.12400008489254	x_1: 3026.901890209772	
t: 3.4399999999999706	x_0: -224.73492457171932	x_1: 3050.4168977335844	
t: 3.4499999999999704	x_0: -194.12562682208554	x_1: 3070.9427408722136	
t: 3.45999999999997	x_0: -163.3261014976245	x_1: 3088.4593059424424	
t: 3.46999999999997	x_0: -132.36652966776546	x_1: 3102.9494281126795	
t: 3.47999999999997	x_0: -101.27724923470134	x_1: 3114.39890822312	
t: 3.4899999999999696	x_0: -70.08872520467315	x_1: 3122.796526699785	
t: 3.4999999999999694	x_0: -38.83151983470245	x_1: 3128.134054548806	
t: 3.509999999999969	x_0: -7.5362626840258	x_1: 3130.4062614201816	
t: 3.519999999999969	x_0: 23.766379400421425	x_1: 3129.6109207330996	
t: 3.5299999999999687	x_0: 55.04573233506029	x_1: 3125.748811857809	
t: 3.5399999999999685	x_0: 86.27114485781489	x_1: 3118.8237193519	
t: 3.5499999999999683	x_0: 117.41201856389559	x_1: 3108.8424292517393	
t: 3.559999999999968	x_0: 148.4378378897865	x_1: 3095.814722422699	
t: 3.569999999999968	x_0: 179.31820001605502	x_1: 3079.7533649746906	
t: 3.5799999999999677	x_0: 210.02284465968123	x_1: 3060.6740957523984	
