t: 0	x_0: 1000	x_1: 0	
t: 0.01	x_0: 999.5100400166667	x_1: -97.98399333333334	
t: 0.02	x_0: 998.0406402013077	x_1: -195.8719701951856	
t: 0.03	x_0: 995.5932404481348	x_1: -293.568008203814	
t: 0.04	x_0: 992.1702390130133	x_1: -390.976373062189	
t: 0.05	x_0: 987.7749901633634	x_1: -488.00161236994256	
t: 0.060000000000000005	x_0: 982.4118008912467	x_1: -584.5486491590796	
t: 0.07	x_0: 976.0859266928584	x_1: -680.522875061796	
t: 0.08	x_0: 968.803566418562	x_1: -775.8302430191062	
t: 0.09	x_0: 960.5718561985121	x_1: -870.377359439433	
t: 0.09999999999999999	x_0: 951.398862449818	x_1: -964.0715757168509	
t: 0.10999999999999999	x_0: 941.2935739721006	x_1: -1056.8210790193045	
t: 0.11999999999999998	x_0: 930.2658931391882	x_1: -1148.5349822578337	
t: 0.12999999999999998	x_0: 918.3266261955828	x_1: -1239.1234131486465	
t: 0.13999999999999999	x_0: 905.4874726672058	x_1: -1328.4976022807627	
t: 0.15	x_0: 891.7610138967987	x_1: -1416.5699701029312	
t: 0.16	x_0: 877.1607007152144	x_1: -1503.2542127445795	
t: 0.17	x_0: 861.7008402606797	x_1: -1588.465386586699	
t: 0.18000000000000002	x_0: 845.396581958945	x_1: -1672.1199914997915	
t: 0.19000000000000003	x_0: 828.2639026780599	x_1: -1754.136052667313	
t: 0.20000000000000004	x_0: 810.319591072321	x_1: -1834.4332009144314	
t: 0.21000000000000005	x_0: 791.5812311307351	x_1: -1912.9327514633849	
t: 0.22000000000000006	x_0: 772.0671849461169	x_1: -1989.5577810382658	
t: 0.23000000000000007	x_0: 751.7965747217081	x_1: -2064.2332032436734	
t: 0.24000000000000007	x_0: 730.7892640329493	x_1: -2136.8858421433706	
t: 0.25000000000000006	x_0: 709.0658383627654	x_1: -2207.444503966845	
t: 0.26000000000000006	x_0: 686.6475849294403	x_1: -2275.8400468735035	
t: 0.2700000000000001	x_0: 663.5564718268473	x_1: -2342.005448706144	
t: 0.2800000000000001	x_0: 639.815126497475	x_1: -2405.8758726673013	
t: 0.2900000000000001	x_0: 615.4468135593456	x_1: -2467.3887308541216	
t: 0.3000000000000001	x_0: 590.4754120085507	x_1: -2526.483745589496	
t: 0.3100000000000001	x_0: 564.9253918197471	x_1: -2583.1030084893578	
t: 0.3200000000000001	x_0: 538.8217899675402	x_1: -2637.191037208267	
t: 0.3300000000000001	x_0: 512.1901858922529	x_1: -2688.694829807664	
t: 0.34000000000000014	x_0: 485.05667643412164	x_1: -2737.5639166935284	
t: 0.35000000000000014	x_0: 457.44785026048226	x_1: -2783.750410072541	
t: 0.36000000000000015	x_0: 429.3907618110038	x_1: -2827.2090508782885	
t: 0.37000000000000016	x_0: 400.91290478650365	x_1: -2867.8972531215245	
t: 0.38000000000000017	x_0: 372.0421852073212	x_1: -2905.7751456210312	
t: 0.3900000000000002	x_0: 342.8068940676519	x_1: -2940.8056110741854	
t: 0.4000000000000002	x_0: 313.23567961263757	x_1: -2972.9543224289423	
t: 0.4100000000000002	x_0: 283.35751926537904	x_1: -3002.1897765216013	
t: 0.4200000000000002	x_0: 253.20169123138137	x_1: -3028.4833249473822	
t: 0.4300000000000002	x_0: 222.79774580825594	x_1: -3051.80920213357	
t: 0.4400000000000002	x_0: 192.17547642879413	x_1: -3072.144550587714	
t: 0.45000000000000023	x_0: 161.36489046578816	x_1: -3089.4694432961396	
t: 0.46000000000000024	x_0: 130.39617982720762	x_1: -3103.7669032508275	
t: 0.47000000000000025	x_0: 99.29969137054646	x_1: -3115.0229200855215	
t: 0.48000000000000026	x_0: 68.1058971653318	x_1: -3123.2264638047673	
t: 0.49000000000000027	x_0: 36.84536463293498	x_1: -3128.369495592424	
t: 0.5000000000000002	x_0: 5.548726592945414	x_1: -3130.4469756890608	
t: 0.5100000000000002	x_0: -25.753348754540568	x_1: -3129.456868330518	
t: 0.5200000000000002	x_0: -57.03018788130092	x_1: -3125.4001437427924	
t: 0.5300000000000002	x_0: -88.25114198859025	x_1: -3118.280777191294	
t: 0.5400000000000003	x_0: -119.38561704050923	x_1: -3108.1057450854037	
t: 0.5500000000000003	x_0: -150.4031037437109	x_1: -3094.8850181421503	
t: 0.5600000000000003	x_0: -181.27320744406586	x_1: -3078.6315516157065	
t: 0.5700000000000003	x_0: -211.96567791099054	x_1: -3059.361272602276	
t: 0.5800000000000003	x_0: -242.45043898025153	x_1: -3037.0930644328155	
t: 0.5900000000000003	x_0: -272.69761802619917	x_1: -3011.8487481688794	
t: 0.6000000000000003	x_0: -302.67757523454947	x_1: -2983.653061219729	
t: 0.6100000000000003	x_0: -332.3609326470295	x_1: -2952.5336331016497	
t: 0.6200000000000003	x_0: -361.71860294942485	x_1: -2918.5209583632372	
t: 0.6300000000000003	x_0: -390.72181797481943	x_1: -2881.6483667031807	
t: 0.6400000000000003	x_0: -419.34215689409604	x_1: -2841.9519903098258	
t: 0.6500000000000004	x_0: -447.551574066074	x_1: -2799.4707284545225	
t: 0.6600000000000004	x_0: -475.3224265199925	x_1: -2754.246209373454	
t: 0.6700000000000004	x_0: -502.6275010434094	x_1: -2706.3227494752946	
t: 0.6800000000000004	x_0: -529.4400408489707	x_1: -2655.7473099146796	
t: 0.6900000000000004	x_0: -555.7337717939209	x_1: -2602.569450574031	
t: 0.7000000000000004	x_0: -581.4829281266594	x_1: -2546.8412814988405	
t: 0.7100000000000004	x_0: -606.6622777351145	x_1: -2488.617411833995	
t: 0.7200000000000004	x_0: -631.2471468721936	x_1: -2427.9548963111874	
t: 0.7300000000000004	x_0: -655.2134443340808	x_1: -2364.913179339846	
t: 0.7400000000000004	x_0: -678.5376850676873	x_1: -2299.554036756371	
t: 0.7500000000000004	x_0: -701.1970131841242	x_1: -2231.94151528876	
t: 0.7600000000000005	x_0: -723.1692243556438	x_1: -2162.1418697959416	
t: 0.7700000000000005	x_0: -744.4327875741034	x_1: -2090.223498343317	
t: 0.7800000000000005	x_0: -764.96686624963	x_1: -2016.2568751781298	
t: 0.7900000000000005	x_0: -784.7513386288103	x_1: -1940.314481670347	
t: 0.8000000000000005	x_0: -803.7668175123983	x_1: -1862.4707352867167	
t: 0.8100000000000005	x_0: -821.994669253219	x_1: -1782.8019166676074	
t: 0.8200000000000005	x_0: -839.4170320156504	x_1: -1701.3860948780873	
t: 0.8300000000000005	x_0: -856.0168332787936	x_1: -1618.3030509064893	
t: 0.8400000000000005	x_0: -871.7778065661756	x_1: -1533.6341994854283	
t: 0.8500000000000005	x_0: -886.6845073855952	x_1: -1447.462509311881	
t: 0.8600000000000005	x_0: -900.7223283634883	x_1: -1359.8724217445028	
t: 0.8700000000000006	x_0: -913.8775135589848	x_1: -1270.949768057857	
t: 0.8800000000000006	x_0: -926.1371719436302	x_1: -1180.781685334635	
t: 0.8900000000000006	x_0: -937.4892900335606	x_1: -1089.4565310782914	
t: 0.9000000000000006	x_0: -947.922743661756	x_1: -997.0637966297621	
t: 0.9100000000000006	x_0: -957.4273088788334	x_1: -903.6940194731146	
t: 0.9200000000000006	x_0: -965.9936719716983	x_1: -809.4386945160602	
t: 0.9300000000000006	x_0: -973.6134385902385	x_1: -714.3901844322687	
t: 0.9400000000000006	x_0: -980.2791419731152	x_1: -618.6416291533411	
t: 0.9500000000000006	x_0: -985.9842502645912	x_1: -522.2868545991324	
t: 0.9600000000000006	x_0: -990.7231729152268	x_1: -425.42028073586044	
t: 0.9700000000000006	x_0: -994.4912661601707	x_1: -328.136829052097	
t: 0.9800000000000006	x_0: -997.2848375696778	x_1: -230.53182954330725	
t: 0.9900000000000007	x_0: -999.1011496673951	x_1: -132.70092729608467	
t: 1.0000000000000007	x_0: -999.9384226128687	x_1: -34.73998876362265	
t: 1.0100000000000007	x_0: -999.7958359456455	x_1: 63.25499217573616	
t: 1.0200000000000007	x_0: -998.6735293892588	x_1: 161.18798828481653	
t: 1.0300000000000007	x_0: -996.5726027143098	x_1: 258.96303306661656	
t: 1.0400000000000007	x_0: -993.4951146607813	x_1: 356.48431480379287	
t: 1.0500000000000007	x_0: -989.4440809206366	x_1: 453.6562704464742	
t: 1.0600000000000007	x_0: -984.4234711826831	x_1: 550.3836792564009	
t: 1.0700000000000007	x_0: -978.4382052425949	x_1: 646.5717561156264	
t: 1.0800000000000007	x_0: -971.4941481819069	x_1: 742.1262444083452	
t: 1.0900000000000007	x_0: -963.5981046207044	x_1: 836.953508384832	
t: 1.1000000000000008	x_0: -954.7578120496397	x_1: 930.9606249169808	
t: 1.1100000000000008	x_0: -944.9819332478114	x_1: 1024.0554745555323	
t: 1.1200000000000008	x_0: -934.2800477939335	x_1: 1116.1468317997608	
t: 1.1300000000000008	x_0: -922.6626426791154	x_1: 1207.1444544911617	
t: 1.1400000000000008	x_0: -910.14110203045	x_1: 1296.9591722435443	
t: 1.1500000000000008	x_0: -896.7276959554807	x_1: 1385.5029738228723	
t: 1.1600000000000008	x_0: -882.4355685184777	x_1: 1472.6890933912268	
t: 1.1700000000000008	x_0: -867.2787248603072	x_1: 1558.4320955303845	
t: 1.1800000000000008	x_0: -851.2720174745148	x_1: 1642.6479589616865	
t: 1.1900000000000008	x_0: -834.4311316530702	x_1: 1725.254158880167	
t: 1.2000000000000008	x_0: -816.7725701160372	x_1: 1806.1697478222566	
t: 1.2100000000000009	x_0: -798.3136368402282	x_1: 1885.3154349878157	
t: 1.2200000000000009	x_0: -779.0724201026928	x_1: 1962.613663938773	
t: 1.2300000000000009	x_0: -759.0677747556539	x_1: 2037.988688598226	
t: 1.2400000000000009	x_0: -738.3193037502615	x_1: 2111.3666474755332	
t: 1.2500000000000009	x_0: -716.8473389272702	x_1: 2182.6756360446625	
t: 1.260000000000001	x_0: -694.6729210934625	x_1: 2251.8457772048714	
t: 1.270000000000001	x_0: -671.8177794033421	x_1: 2318.8092897546717	
t: 1.280000000000001	x_0: -648.3043100663025	x_1: 2383.500554811982	
t: 1.290000000000001	x_0: -624.1555544001338	x_1: 2445.856180115379	
t: 1.300000000000001	x_0: -599.3951762523762	x_1: 2505.8150621434397	
t: 1.310000000000001	x_0: -574.0474388116434	x_1: 2563.3184459913005	
t: 1.320000000000001	x_0: -548.1371808316394	x_1: 2618.3099829457615	
t: 1.330000000000001	x_0: -521.6897922911693	x_1: 2670.7357857025154	
t: 1.340000000000001	x_0: -494.7311895139913	x_1: 2720.544481171391	
t: 1.350000000000001	x_0: -467.28778977289454	x_1: 2767.6872608178696	
t: 1.360000000000001	x_0: -439.3864854028862	x_1: 2812.117928491543	
t: 1.370000000000001	x_0: -411.05461744885577	x_1: 2853.792945694641	
t: 1.380000000000001	x_0: -382.31994887353966	x_1: 2892.671474246276	
t: 1.390000000000001	x_0: -353.21063735204007	x_1: 2928.7154163005907	
t: 1.400000000000001	x_0: -323.7552076795573	x_1: 2961.8894516795967	
t: 1.410000000000001	x_0: -293.9825238193737	x_1: 2992.161072484122	
t: 1.420000000000001	x_0: -263.92176061848	x_1: 3019.5006149489514	
t: 1.430000000000001	x_0: -233.60237521856095	x_1: 3043.8812885109387	
t: 1.440000000000001	x_0: -203.0540781903541	x_1: 3065.2792020616175	
t: 1.450000000000001	x_0: -172.3068044196687	x_1: 3083.673387358573	
t: 1.460000000000001	x_0: -141.390683773594	x_1: 3099.0458195726424	
t: 1.470000000000001	x_0: -110.33601157564101	x_1: 3111.3814349508025	
t: 1.480000000000001	x_0: -79.17321891875073	x_1: 3120.6681455774446	
t: 1.490000000000001	x_0: -47.93284284525885	x_1: 3126.896851219562	
t: 1.500000000000001	x_0: -16.64549642303864	x_1: 3130.061448244251	
t: 1.5100000000000011	x_0: 14.65816125285508	x_1: 3130.158835599782	
t: 1.5200000000000011	x_0: 45.94745510364494	x_1: 3127.188917854382	
t: 1.5300000000000011	x_0: 77.1917241259528	x_1: 3121.1546052897506	
t: 1.5400000000000011	x_0: 108.36035143712877	x_1: 3112.0618110492164	
t: 1.5500000000000012	x_0: 139.42279427734542	x_1: 3099.9194453433292	
t: 1.5600000000000012	x_0: 170.34861393905757	x_1: 3084.739406718568	
t: 1.5700000000000012	x_0: 201.10750559449917	x_1: 3066.5365703977172	
t: 1.5800000000000012	x_0: 231.66932799198875	x_1: 3045.3287737033393	
t: 1.5900000000000012	x_0: 262.0041329919433	x_1: 3021.1367985786264	
t: 1.6000000000000012	x_0: 292.08219491365793	x_1: 2993.984351222759	
t: 1.6100000000000012	x_0: 321.87403966409335	x_1: 2963.8980388607283	
t: 1.6200000000000012	x_0: 351.3504736201279	x_1: 2930.907343670387	
t: 1.6300000000000012	x_0: 380.4826122359714	x_1: 2895.0445938922726	
t: 1.6400000000000012	x_0: 409.24190834770764	x_1: 2856.3449321505213	
t: 1.6500000000000012	x_0: 437.60018014723033	x_1: 2814.846281015908	
t: 1.6600000000000013	x_0: 465.5296387981588	x_1: 2770.589305844764	
t: 1.6700000000000013	x_0: 493.0029156666735	x_1: 2723.617374930181	
t: 1.6800000000000013	x_0: 519.9930891405863	x_1: 2673.9765170045566	
t: 1.6900000000000013	x_0: 546.4737110103654	x_1: 2621.7153761351206	
t: 1.7000000000000013	x_0: 572.4188323862635	x_1: 2566.885164056643	
t: 1.7100000000000013	x_0: 597.803029126153	x_1: 2509.539609988033	
t: 1.7200000000000013	x_0: 622.6014267491497	x_1: 2449.7349079820056	
t: 1.7300000000000013	x_0: 646.7897248106134	x_1: 2387.529661859407	
t: 1.7400000000000013	x_0: 670.344220714638	x_1: 2322.984827782163	
t: 1.7500000000000013	x_0: 693.2418329406987	x_1: 2256.1636545211177	
t: 1.7600000000000013	x_0: 715.460123661694	x_1: 2187.131621477302	
t: 1.7700000000000014	x_0: 736.9773207312203	x_1: 2115.956374517362	
t: 1.7800000000000014	x_0: 757.772339018533	x_1: 2042.7076596860236	
t: 1.7900000000000014	x_0: 777.8248010702864	x_1: 1967.4572548605527	
